Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,TCC_HIT_sum,TCC_MISS_sum,TCC_READ_sum,TCC_WRITE_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum
47,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848544177210,213848544179132,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
48,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848544512508,213848544514511,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
49,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848544831422,213848544833465,0,2642.000000,1088.000000,1682.000000,2048.000000,8192.000000,8192.000000
50,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848545168203,213848545170286,0,2670.000000,1088.000000,1710.000000,2048.000000,8192.000000,8192.000000
51,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848545491002,213848545493086,0,4676.000000,1088.000000,1668.000000,4096.000000,8192.000000,8192.000000
52,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848545830106,213848545832150,0,4676.000000,1088.000000,1668.000000,4096.000000,8192.000000,8192.000000
53,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848546155350,213848546157433,0,4732.000000,1088.000000,1724.000000,4096.000000,32768.000000,32768.000000
54,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848546489006,213848546491169,0,4718.000000,1088.000000,1710.000000,4096.000000,32768.000000,32768.000000
55,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848546813368,213848546815411,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
56,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848547148186,213848547150229,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
